identifier,category,enum_type,description
Kira游动,Video Intro Animations,IntroType,Free
上下抖动,Video Intro Animations,IntroType,Free
动感放大,Video Intro Animations,IntroType,Free
动感缩小,Video Intro Animations,IntroType,Free
向上滑动,Video Intro Animations,IntroType,Free
向上转入,Video Intro Animations,IntroType,Free
向上转入_II,Video Intro Animations,IntroType,Free
向下滑动,Video Intro Animations,IntroType,Free
向下甩入,Video Intro Animations,IntroType,Free
向右上甩入,Video Intro Animations,IntroType,Free
向右下甩入,Video Intro Animations,IntroType,Free
向右滑动,Video Intro Animations,IntroType,Free
向右甩入,Video Intro Animations,IntroType,Free
向右转入,Video Intro Animations,IntroType,Free
向左上甩入,Video Intro Animations,IntroType,Free
向左下甩入,Video Intro Animations,IntroType,Free
向左滑动,Video Intro Animations,IntroType,Free
向左转入,Video Intro Animations,IntroType,Free
左右抖动,Video Intro Animations,IntroType,Free
抖动下降,Video Intro Animations,IntroType,Free
折叠开幕,Video Intro Animations,IntroType,Free
放大,Video Intro Animations,IntroType,Free
斜切,Video Intro Animations,IntroType,Free
旋转,Video Intro Animations,IntroType,Free
旋转开幕,Video Intro Animations,IntroType,Free
渐显,Video Intro Animations,IntroType,Free
漩涡旋转,Video Intro Animations,IntroType,Free
缩小,Video Intro Animations,IntroType,Free
翻入,Video Intro Animations,IntroType,Free
跳转开幕,Video Intro Animations,IntroType,Free
轻微抖动,Video Intro Animations,IntroType,Free
轻微抖动_II,Video Intro Animations,IntroType,Free
轻微抖动_III,Video Intro Animations,IntroType,Free
轻微放大,Video Intro Animations,IntroType,Free
钟摆,Video Intro Animations,IntroType,Free
镜像翻转,Video Intro Animations,IntroType,Free
雨刷,Video Intro Animations,IntroType,Free
雨刷_II,Video Intro Animations,IntroType,Free
_2024,Video Intro Animations,IntroType,Free
_2025,Video Intro Animations,IntroType,Free
PASSION,Video Intro Animations,IntroType,Free
三屏下滑,Video Intro Animations,IntroType,Free
三屏切闪,Video Intro Animations,IntroType,Free
九宫格,Video Intro Animations,IntroType,Free
交叉震动,Video Intro Animations,IntroType,Free
交错开幕,Video Intro Animations,IntroType,Free
侧滑,Video Intro Animations,IntroType,Free
便利贴,Video Intro Animations,IntroType,Free
冬季雪花,Video Intro Animations,IntroType,Free
冰块,Video Intro Animations,IntroType,Free
冰雪融化,Video Intro Animations,IntroType,Free
冲撞,Video Intro Animations,IntroType,Free
分屏横移,Video Intro Animations,IntroType,Free
分屏组合,Video Intro Animations,IntroType,Free
分屏翻转,Video Intro Animations,IntroType,Free
分身模糊,Video Intro Animations,IntroType,Free
划水,Video Intro Animations,IntroType,Free
区域色块滑动,Video Intro Animations,IntroType,Free
十字震动,Video Intro Animations,IntroType,Free
卡片扫光,Video Intro Animations,IntroType,Free
发光矩形,Video Intro Animations,IntroType,Free
变速扩大,Video Intro Animations,IntroType,Free
变速时空,Video Intro Animations,IntroType,Free
向上滚动,Video Intro Animations,IntroType,Free
向上闪入,Video Intro Animations,IntroType,Free
向下甩动,Video Intro Animations,IntroType,Free
四屏转换,Video Intro Animations,IntroType,Free
圆形开幕,Video Intro Animations,IntroType,Free
多层环形,Video Intro Animations,IntroType,Free
多屏分割I,Video Intro Animations,IntroType,Free
多屏分割II,Video Intro Animations,IntroType,Free
多维空间,Video Intro Animations,IntroType,Free
展开,Video Intro Animations,IntroType,Free
幸运圣诞树,Video Intro Animations,IntroType,Free
开辟2025,Video Intro Animations,IntroType,Free
弹力分割,Video Intro Animations,IntroType,Free
弹近,Video Intro Animations,IntroType,Free
录像带分屏,Video Intro Animations,IntroType,Free
心形放大,Video Intro Animations,IntroType,Free
快速翻页,Video Intro Animations,IntroType,Free
手写云朵,Video Intro Animations,IntroType,Free
手机倒数,Video Intro Animations,IntroType,Free
扫描,Video Intro Animations,IntroType,Free
抖动变焦,Video Intro Animations,IntroType,Free
抖动横移,Video Intro Animations,IntroType,Free
报纸拼贴,Video Intro Animations,IntroType,Free
报纸拼贴II,Video Intro Animations,IntroType,Free
拉丝滑入,Video Intro Animations,IntroType,Free
拼图,Video Intro Animations,IntroType,Free
探灯聚焦,Video Intro Animations,IntroType,Free
斜向拉丝,Video Intro Animations,IntroType,Free
旋转圆球,Video Intro Animations,IntroType,Free
时间倒计时,Video Intro Animations,IntroType,Free
晃动抽帧,Video Intro Animations,IntroType,Free
曝光放射,Video Intro Animations,IntroType,Free
果冻_I,Video Intro Animations,IntroType,Free
果冻_II,Video Intro Animations,IntroType,Free
枫叶遮罩,Video Intro Animations,IntroType,Free
模糊聚焦,Video Intro Animations,IntroType,Free
横向模糊,Video Intro Animations,IntroType,Free
水墨,Video Intro Animations,IntroType,Free
水滴遮罩,Video Intro Animations,IntroType,Free
油画描边变色,Video Intro Animations,IntroType,Free
波纹弹动,Video Intro Animations,IntroType,Free
流金,Video Intro Animations,IntroType,Free
游蛇开幕,Video Intro Animations,IntroType,Free
滑片滑动,Video Intro Animations,IntroType,Free
灼烧出现,Video Intro Animations,IntroType,Free
点开,Video Intro Animations,IntroType,Free
烟雾弹,Video Intro Animations,IntroType,Free
照片回忆,Video Intro Animations,IntroType,Free
爱心碰撞,Video Intro Animations,IntroType,Free
玫瑰,Video Intro Animations,IntroType,Free
玻璃聚集,Video Intro Animations,IntroType,Free
画出爱心,Video Intro Animations,IntroType,Free
画面擦除,Video Intro Animations,IntroType,Free
砸出波纹,Video Intro Animations,IntroType,Free
神奇弹窗,Video Intro Animations,IntroType,Free
空间扭曲,Video Intro Animations,IntroType,Free
立体交叉,Video Intro Animations,IntroType,Free
立体翻转,Video Intro Animations,IntroType,Free
立方分体,Video Intro Animations,IntroType,Free
竖向拼接,Video Intro Animations,IntroType,Free
粒子爱心,Video Intro Animations,IntroType,Free
翻书,Video Intro Animations,IntroType,Free
翻卡,Video Intro Animations,IntroType,Free
老电视,Video Intro Animations,IntroType,Free
聚合,Video Intro Animations,IntroType,Free
能量立方,Video Intro Animations,IntroType,Free
脉冲,Video Intro Animations,IntroType,Free
色散波纹,Video Intro Animations,IntroType,Free
荧光爆闪,Video Intro Animations,IntroType,Free
负片闪屏,Video Intro Animations,IntroType,Free
转圈圈,Video Intro Animations,IntroType,Free
迷幻流光,Video Intro Animations,IntroType,Free
金沙,Video Intro Animations,IntroType,Free
钱币遮罩,Video Intro Animations,IntroType,Free
镜面组成,Video Intro Animations,IntroType,Free
闪屏,Video Intro Animations,IntroType,Free
闪现,Video Intro Animations,IntroType,Free
闪电分屏,Video Intro Animations,IntroType,Free
雪花遮罩,Video Intro Animations,IntroType,Free
震动波纹,Video Intro Animations,IntroType,Free
震撼倒数,Video Intro Animations,IntroType,Free
震波,Video Intro Animations,IntroType,Free
震波_II,Video Intro Animations,IntroType,Free
震波_III,Video Intro Animations,IntroType,Free
鞭炮遮罩,Video Intro Animations,IntroType,Free
音量大小,Video Intro Animations,IntroType,Free
飞近,Video Intro Animations,IntroType,Free
马赛克,Video Intro Animations,IntroType,Free
魔方_III,Video Intro Animations,IntroType,Free
魔法粒子I,Video Intro Animations,IntroType,Free
魔法粒子II,Video Intro Animations,IntroType,Free
黑白画中画,Video Intro Animations,IntroType,Free
